"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J3TR5CG9","conferencePaper","2025","Dong, Chunhao; Jiang, Yanjie; Zhang, Yuxia; Zhang, Yang; Liu, Hui","ChatGPT-Based Test Generation for Refactoring Engines Enhanced by Feature Analysis on Examples","Proceedings of the IEEE/ACM 47th International Conference on Software Engineering","979-8-3315-0569-1","","10.1109/ICSE55347.2025.00210","https://doi.org/10.1109/ICSE55347.2025.00210","Software refactoring is widely employed to improve software quality. However, conducting refactorings manually is tedious, time-consuming, and error-prone. Consequently, automated and semi-automated tool support is highly desirable for software refactoring in the industry, and most of the main-stream IDEs provide powerful tool support for refactoring. However, complex refactoring engines are prone to errors, which in turn may result in imperfect and incorrect refactorings. To this end, in this paper, we propose a ChatGPT-based approach to testing refactoring engines. We first manually analyze bug reports and test cases associated with refactoring engines, and construct a feature library containing fine-grained features that may trigger defects in refactoring engines. The approach automatically generates prompts according to both predefined prompt templates and features randomly selected from the feature library, requesting ChatGPT to generate test programs with the requested features. Test programs generated by ChatGPT are then forwarded to multiple refactoring engines for differential testing. To the best of our knowledge, it is the first approach in testing refactoring engines that guides test program generation with features derived from existing bugs. It is also the first approach in this line that exploits LLMs in the generation of test programs. Our initial evaluation of four main-stream refactoring engines suggests that the proposed approach is effective. It identified a total of 115 previously unknown bugs besides 28 inconsistent refactoring behaviors among different engines. Among the 115 bugs, 78 have been manually confirmed by the original developers of the tested engines, i.e., IntelliJ IDEA, Eclipse, VScode-Java, and NetBeans.","2025","2025-11-25 22:29:30","2025-11-25 22:47:05","","2714–2725","","","","","","","ICSE '25","","","","IEEE Press","Ottawa, Ontario, Canada","","","","","","","","","","","","Chatbots; ChatGPT; Computer bugs; differential testing; Engines; Industries; Libraries; refactoring; refactoring engines; Software engineering; Software quality; Test pattern generators; Testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8J24MLCH","conferencePaper","2024","Qi, Fei; Hou, Yingnan; Lin, Ning; Bao, Shanshan; Xu, Nuo","A Survey of Testing Techniques Based on Large Language Models","Proceedings of the 2024 International Conference on Computer and Multimedia Technology","979-8-4007-1826-7","","10.1145/3675249.3675298","https://doi.org/10.1145/3675249.3675298","With the development of software testing technology, Large Language Model (LLM) driven testing method have gradually become an emerging trend in the field of software testing. This paper presents a comprehensive review of LLM-based testing techniques. The results of 19 studies using LLM to optimize testing techniques are analyzed from the perspective of software testing. This paper discusses in detail how to use LLM to optimize test techniques for generating automated test code and generating diverse input in software test tasks. It also summarizes the challenges and opportunities faced by this field. The above conclusions can identify the shortcomings of LLM-based software testing technology and the direction of future research.","2024","2025-11-25 22:29:34","2025-11-25 22:29:34","","280–284","","","","","","","ICCMT '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Sanming, China","","","","LLM; Pre-trained Large Language Model; Software Testing Techniques","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65SJKKLB","conferencePaper","2025","Fang, Zihan; Li, Jiliang; Liang, Anda; Bai, Gina R.; Huang, Yu","A Comparative Study on ChatGPT and Checklist as Support Tools for Unit Testing Education","Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering","979-8-4007-1276-0","","10.1145/3696630.3727244","https://doi.org/10.1145/3696630.3727244","Testing is widely practiced in software engineering, and many tools have been developed to support students in learning testing. Prior research suggests that a lightweight testing checklist improves learning outcomes but doesn't address students' challenges in writing test code that matches their intentions or design. Meanwhile, generative AI tools (e.g., ChatGPT) bring new promise as another form of software assistance tool. In this study, we examined the impact of various support tools (checklist, ChatGPT, or both) on unit testing among 42 students. Our results indicated that using these tools individually or in combination produced a comparable effect on student performance in unit testing. Students preferred using the checklist but acknowledged ChatGPT's effectiveness in accelerating task completion and addressing programming language challenges. While ChatGPT demonstrated potential benefits for testing education, it did not overcome the implementation challenges identified in the previous study. Moreover, reliance on ChatGPT may hinder students' deeper engagement with new concepts, which is crucial for comprehensive learning, as they often interact superficially with AI-generated responses without employing the critical thinking necessary to evaluate the information provided. Therefore, we proposed recommendations for both students and instructors on adapting to learning and teaching in the AI era and offer insights into the evolving role of AI in education.","2025","2025-11-25 22:29:35","2025-11-25 22:29:35","","871–882","","","","","","","FSE Companion '25","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Clarion Hotel Trondheim, Trondheim, Norway","","","","ChatGPT; unit testing; checklist; testing education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WUHN6LRM","conferencePaper","2024","Chen, Yang; Jabbarvand, Reyhaneh","Can ChatGPT Repair Non-Order-Dependent Flaky Tests?","Proceedings of the 1st International Workshop on Flaky Tests","979-8-4007-0558-8","","10.1145/3643656.3643900","https://doi.org/10.1145/3643656.3643900","Regression testing helps developers check whether the latest code changes break software functionality. Flaky tests, which can non-deterministically pass or fail on the same code version, may mislead developers' concerns, resulting in missing some bugs or spending time pinpointing bugs that do not exist. Existing flakiness detection and mitigation techniques have primarily focused on general order-dependent (OD) and implementation-dependent (ID) flaky tests. There is also a dearth of research on repairing test flakiness, out of which, mostly have focused on repairing OD flaky tests, and a few have explored repairing a subcategory of non-order-dependent (NOD) flaky tests that are caused by asynchronous waits. As a result, there is a demand for devising techniques to reproduce, detect, and repair NOD flaky tests. Large language models (LLMs) have shown great effectiveness in several programming tasks. To explore the potential of LLMs in addressing NOD flakiness, this paper investigates the possibility of using ChatGPT to repair different categories of NOD flaky tests. Our comprehensive study on 118 from the IDoFT dataset shows that ChatGPT, despite as a leading LLM with notable success in multiple code generation tasks, is ineffective in repairing NOD test flakiness, even by following the best practices for prompt crafting. We investigated the reasons behind the failure of using ChatGPT in repairing NOD tests, which provided us valuable insights about the next step to advance the field of NOD test flakiness repair.","2024","2025-11-25 22:29:35","2025-11-25 22:47:05","","22–29","","","","","","","FTW '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Lisbon, Portugal","","","","Codes; Computer bugs; Debugging; large language models; Large language models; Large Language Models; Maintenance engineering; Prevention and mitigation; software testing; Software testing; Software Testing; test flakiness; Test Flakiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQLDFJKI","conferencePaper","2025","Yu, Junji; Shu, Honglin; Fu, Michael; Wang, Dong; Tantithamthavorn, Chakkrit; Kamei, Yasutaka; Chen, Junjie","A Preliminary Study of Large Language Models for Multilingual Vulnerability Detection","Proceedings of the 34th ACM SIGSOFT International Symposium on Software Testing and Analysis","979-8-4007-1474-0","","10.1145/3713081.3731746","https://doi.org/10.1145/3713081.3731746","Deep learning-based approaches, particularly those leveraging pre-trained language models (PLMs), have shown promise in automated software vulnerability detection. However, existing methods are predominantly limited to specific programming languages, restricting their applicability in multilingual settings. Recent advancements in large language models (LLMs) offer language-agnostic capabilities and enhanced semantic understanding, presenting a potential solution to this limitation. While existing studies have explored LLMs for vulnerability detection, their detection performance remains unknown for multilingual vulnerabilities. To address this gap, we conducted a preliminary study to evaluate the effectiveness of PLMs and state-of-the-art LLMs across seven popular programming languages. Our findings reveal that the PLM CodeT5P achieves the best performance in multilingual vulnerability detection, particularly in identifying the most critical vulnerabilities. Based on these results, we further discuss the potential of LLMs in advancing real-world multilingual vulnerability detection. This work represents an initial step toward exploring PLMs and LLMs for cross-language vulnerability detection, offering key insights for future research and practical deployment.","2025","2025-11-25 22:29:38","2025-11-25 22:29:38","","161–168","","","","","","","ISSTA Companion '25","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Clarion Hotel Trondheim, Trondheim, Norway","","","","large language model; multilingual vulnerability; vulnerability detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TYEMY7NT","conferencePaper","2024","Yan, Dapeng; Gao, Zhipeng; Liu, Zhiming","A Closer Look at Different Difficulty Levels Code Generation Abilities of ChatGPT","Proceedings of the 38th IEEE/ACM International Conference on Automated Software Engineering","979-8-3503-2996-4","","10.1109/ASE56229.2023.00096","https://doi.org/10.1109/ASE56229.2023.00096","","2024","2025-11-25 22:29:38","2025-11-25 23:11:13","","1887–1898","","","","","","","ASE '23","","","","IEEE Press","Echternach, Luxembourg","","","","","","","","","","","","large language model; code generation; Chat-GPT; clean code; program competition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUB9Y26K","journalArticle","2024","Hou, Xinyi; Zhao, Yanjie; Liu, Yue; Yang, Zhou; Wang, Kailong; Li, Li; Luo, Xiapu; Lo, David; Grundy, John; Wang, Haoyu","Large Language Models for Software Engineering: A Systematic Literature Review","ACM Trans. Softw. Eng. Methodol.","","1049-331X","10.1145/3695988","https://doi.org/10.1145/3695988","Large Language Models (LLMs) have significantly impacted numerous domains, including Software Engineering (SE). Many recent publications have explored LLMs applied to various SE tasks. Nevertheless, a comprehensive understanding of the application, effects, and possible limitations of LLMs on SE is still in its early stages. To bridge this gap, we conducted a Systematic Literature Review (SLR) on LLM4SE, with a particular focus on understanding how LLMs can be exploited to optimize processes and outcomes. We selected and analyzed 395 research articles from January 2017 to January 2024 to answer four key Research Questions (RQs). In RQ1, we categorize different LLMs that have been employed in SE tasks, characterizing their distinctive features and uses. In RQ2, we analyze the methods used in data collection, pre-processing, and application, highlighting the role of well-curated datasets for successful LLM for SE implementation. RQ3 investigates the strategies employed to optimize and evaluate the performance of LLMs in SE. Finally, RQ4 examines the specific SE tasks where LLMs have shown success to date, illustrating their practical contributions to the field. From the answers to these RQs, we discuss the current state-of-the-art and trends, identifying gaps in existing research, and highlighting promising areas for future study. Our artifacts are publicly available at .","2024-12","2025-11-25 22:29:39","2025-11-25 22:29:39","","","","8","33","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","Large Language Model; Software Engineering; Survey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6XQYBAEN","conferencePaper","2025","Kim, Myeongsoo; Stennett, Tyler; Sinha, Saurabh; Orso, Alessandro","A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs","Proceedings of the IEEE/ACM 47th International Conference on Software Engineering","979-8-3315-0569-1","","10.1109/ICSE55347.2025.00179","https://doi.org/10.1109/ICSE55347.2025.00179","As modern web services increasingly rely on REST APIs, their thorough testing has become crucial. Furthermore, the advent of REST API documentation languages, such as the OpenAPI Specification, has led to the emergence of many black-box REST API testing tools. However, these tools often focus on individual test elements in isolation (e.g., APIs, parameters, values), resulting in lower coverage and less effectiveness in fault detection. To address these limitations, we present AutoRestTest, the first black-box tool to adopt a dependency-embedded multi-agent approach for REST API testing that integrates multi-agent reinforcement learning (MARL) with a semantic property dependency graph (SPDG) and Large Language Models (LLMs). Our approach treats REST API testing as a separable problem, where four agents—API, dependency, parameter, and value agents—collaborate to optimize API exploration. LLMs handle domain-specific value generation, the SPDG model simplifies the search space for dependencies using a similarity score between API operations, and MARL dynamically optimizes the agents' behavior. Our evaluation of AutoRestTest on 12 real-world REST services shows that it outperforms the four leading black-box REST API testing tools, including those assisted by RESTGPT (which generates realistic test inputs using LLMs), in terms of code coverage, operation coverage, and fault detection. Notably, AutoRestTest is the only tool able to trigger an internal server error in the Spotify service. Our ablation study illustrates that each component of AutoRestTest—the SPDG, the LLM, and the agent-learning mechanism—contributes to its overall effectiveness.","2025","2025-11-25 22:29:43","2025-11-25 22:46:39","","1409–1421","","","","","","","ICSE '25","","","","IEEE Press","Ottawa, Ontario, Canada","","","","","","","","","","","","Large language models; Semantics; Software engineering; Testing; Fault detection; automated REST API testing; multi-agent reinforcement learning for testing; Automated REST API Testing; Reinforcement learning; Documentation; Closed box; Web services; Servers; Multi-Agent Reinforcement Learning for Testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3V58PYED","conferencePaper","2024","Sallou, June; Durieux, Thomas; Panichella, Annibale","Breaking the Silence: the Threats of Using LLMs in Software Engineering","Proceedings of the 2024 ACM/IEEE 44th International Conference on Software Engineering: New Ideas and Emerging Results","979-8-4007-0500-7","","10.1145/3639476.3639764","https://doi.org/10.1145/3639476.3639764","Large Language Models (LLMs) have gained considerable traction within the Software Engineering (SE) community, impacting various SE tasks from code completion to test generation, from program repair to code summarization. Despite their promise, researchers must still be careful as numerous intricate factors can influence the outcomes of experiments involving LLMs. This paper initiates an open discussion on potential threats to the validity of LLM-based research including issues such as closed-source models, possible data leakage between LLM training data and research evaluation, and the reproducibility of LLM-based findings. In response, this paper proposes a set of guidelines tailored for SE researchers and Language Model (LM) providers to mitigate these concerns. The implications of the guidelines are illustrated using existing good practices followed by LLM providers and a practical example for SE researchers in the context of test case generation.","2024","2025-11-25 22:29:47","2025-11-25 22:46:52","","102–106","","","","","","","ICSE-NIER'24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Lisbon, Portugal","","","","Codes; Data models; Evaluation; Guidelines; Large language models; Large Language Models; Maintenance engineering; Reproducibility of results; Software engineering; Software Engineering; Test pattern generators; Training data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DFLGD5XK","conferencePaper","2024","Groce, Alex; Dong, Liming; Lu, Qinghua; Zhu, Liming","A Pilot Study in Surveying Data Challenges of Automatic Software Engineering Tasks","Proceedings of the 4th International Workshop on Software Engineering and AI for Data Quality in Cyber-Physical Systems/Internet of Things","979-8-4007-0672-1","","10.1145/3663530.3665020","https://doi.org/10.1145/3663530.3665020","The surge in automatic SE research aims to boost development efficiency and quality while reducing costs. However, challenges such as limited real-world project data and inadequate data conditions constrain the effectiveness of these methods. To systematically understand these challenges, our pilot study reviews prevalent data challenges across various SE tasks. Despite these challenges, thanks to the advances of large language model offers promising performance on SE tasks. Overall, this pilot survey focused on provide a quick retrospective review on SE data challenges and introduce practical LLM solutions from the SE community to mitigate these challenges.","2024","2025-11-25 22:29:49","2025-11-25 22:29:49","","6–11","","","","","","","SEA4DQ 2024","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Porto de Galinhas, Brazil","","","","LLM; Automatic Software Engineering; Data Challenge; Pilot Survey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
