ID,Autores,Título,Ano,Veículo,DOI,QP1 – Categoria,QP1 – Contribuição/técnica,QP2 – Desafios/limitações,QP3 – Oportunidades/direções,Híbrida (LLM + V&V)
[1],"Kulsum, U.; Zhu, H.; Xu, B.; d'Amorim, M.",A Case Study of LLM for Automated Vulnerability Repair: Assessing Impact of Reasoning and Patch Validation Feedback,2024,"AIware (AI-Powered Software), pp.103–111",10.1145/3664646.3664770,Reparo e análise de vulnerabilidades,Reparo automatizado de vulnerabilidades com patch validation feedback para fechar o ciclo de correção.,Confiabilidade e alucinação: a saída inicial do LLM não pode ser assumida como correta.,Abordagens híbridas / validação externa: validação automática de patches.,Sim — LLM + validação de patches
[2],"Rawson, J.; Reddivari, S.",A ChatGPT-Powered Tool for Automating Context-Aware Acceptance Criteria Generation for User Stories,2025,"IEEE IRI, pp.325–330",10.1109/IRI66576.2025.00067,Geração de artefatos de suporte,Geração de critérios de aceitação para user stories a partir de contexto.,—,LLM como gerador de artefatos de referência (critérios de aceitação).,Parcial
[3],"Yan, D.; Gao, Z.; Liu, Z.",A Closer Look at Different Difficulty Levels Code Generation Abilities of ChatGPT,2024,"ASE, pp.1887–1898",10.1109/ASE56229.2023.00096,Avaliação de geração de código (base p/ confiabilidade),Avalia capacidade do ChatGPT em geração de código por níveis de dificuldade.,Confiabilidade e alucinação: saídas plausíveis com erros lógicos.,—,Não
[4],"Jain, R.; Gervasoni, N.; Ndhlovu, M.; Rawat, S.",A Code Centric Evaluation of C/C++ Vulnerability Datasets for Deep Learning Based Vulnerability Detection Techniques,2023,ISEC (16th),10.1145/3578527.3578530,Qualidade de dados e datasets,Avalia qualidade de datasets de vulnerabilidades C/C++ p/ detecção baseada em aprendizado.,"Qualidade e viés dos dados: inconsistências, cobertura limitada, falta de padronização.",Datasets de alta qualidade: bases mais ricas e padronizadas.,Não
[5],"Treviño-Villalobos, M.; Quesada-López, C.; Jiménez-Delgado, E.; Quirós-Oviedo, R.; Díaz-Oreiro, I.","A Comparative Evaluation of ChatGPT, DeepSeek and Gemini in Automatic Unit Test Generation: a Success Rate Analysis",2025,"AmITIC, pp.1–8",10.1109/AmITIC68284.2025.11214621,Geração de testes unitários,"Estudo comparativo entre ChatGPT, DeepSeek e Gemini (taxa de sucesso).",Variabilidade entre modelos e prompts: grande variação e não-determinismo.,—,Não
[6],"Fang, Z.; Li, J.; Liang, A.; Bai, G. R.; Huang, Y.",A Comparative Study on ChatGPT and Checklist as Support Tools for Unit Testing Education,2025,"FSE Companion, pp.871–882",10.1145/3696630.3727244,Suporte metodológico e educacional,Compara ChatGPT com listas de verificação no ensino de teste de unidade.,Risco de engajamento superficial (aceitar respostas sem criticidade).,Foco no fator humano: mudança de papel do engenheiro de teste.,Não
[7],"Margabandu, L.; Chen, Z.; Wong, W. E.; Hsu, C.-W.",A Design of Experiments Oracle LLM for Research-Grounded Combinatorial Testing,2025,"QRS-C (25th), pp.82–90",10.1109/QRS-C65679.2025.00021,Suporte metodológico e educacional,"""Oracle LLM"" p/ apoiar desenho de experimentos em teste combinatório.",—,Foco no fator humano: torna metodologias complexas mais acessíveis.,Não
[8],"Kim, M.; Stennett, T.; Sinha, S.; Orso, A.",A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,2025,"ICSE, pp.1409–1421",10.1109/ICSE55347.2025.00179,Teste de APIs e sistemas multiagente,Multiagente com grafos semânticos e entradas guiadas por LLM p/ REST.,Limitações de contexto/escalabilidade: APIs com estados ricos.,LLM como extrator de conhecimento: relações semânticas.,Sim — LLM + grafos semânticos
[9],"Groce, A.; Dong, L.; Lu, Q.; Zhu, L.",A Pilot Study in Surveying Data Challenges of Automatic Software Engineering Tasks,2024,"SEA4DQ, pp.6–11",10.1145/3663530.3665020,Qualidade de dados e datasets,Levanta desafios de dados em tarefas automáticas de eng. de software.,"Qualidade e viés dos dados: cobertura limitada, falta de padronização.",Datasets de alta qualidade p/ teste assistido por LLM.,Não
[10],"Chen, T.; Jiang, Y.; Fan, F.; Liu, B.; Liu, H.",A Position-Aware Approach to Decomposing God Classes,2024,"ASE, pp.129–140",10.1145/3691620.3694992,⚠ Não mapeado nas QPs (refatoração / God Classes),Consta na lista de refs mas não aparece nas tabelas de resultado. Verificar se é primário.,—,—,A confirmar
[11],"Yu, J. et al.",A Preliminary Study of Large Language Models for Multilingual Vulnerability Detection,2025,"ISSTA Companion, pp.161–168",10.1145/3713081.3731746,Reparo e análise de vulnerabilidades,Detecção de vulnerabilidades em cenários multilíngues.,Desafios de precisão na detecção.,—,Não
